address,lat,long
20 WARREN STREET,40.7142935,-74.0076762
100 CHAMBERS STREET,40.7146476,-74.0078169
99 NASSAU STREET,40.710514,-74.0077226
126 CHAMBERS STREET,40.7151635,-74.0089496
55 JOHN STREET,40.7091334,-74.0075313
17 STATE STREET,40.7028912,-74.0138782
200 BROADWAY,40.7103986,-74.0089706
130 FULTON STREET,40.7102148,-74.0080761
90 CHAMBERS STREET,40.714472,-74.0074309
22 WARREN STREET,40.7143292,-74.0077519
26 ANN STREET,40.7106348,-74.0079643
54 WARREN STREET,40.7149138,-74.0090398
27 WHITEHALL STREET,40.7034897,-74.0128793
80 WARREN STREET,40.7154324,-74.0101725
195 BROADWAY,40.7108515,-74.0097643
55 CHURCH STREET,40.7111396,-74.010244
30 WARREN STREET,40.7145213,-74.00799
48 WARREN STREET,40.7148095,-74.0088053
129 FULTON STREET,40.7103274,-74.0073908
20 BEAVER STREET,40.7048182,-74.0122917
49 ANN STREET,40.7104043,-74.006673
47 ANN STREET,40.7105443,-74.0067055
160 CHAMBERS STREET,40.7158139,-74.010371
140 WEST STREET,40.7137743,-74.0129354
209 BROADWAY,40.711469,-74.0095804
122 CHAMBERS STREET,40.7149687,-74.0088883
85 WEST BROADWAY,40.7152047,-74.0091336
22 BEAVER STREET,40.7048182,-74.0122051
108 CHAMBERS STREET,40.7148452,-74.0082498
217 BROADWAY,40.7117463,-74.0088518
11 STONE STREET,40.7042007,-74.0122375
20 VESEY STREET,40.7120482,-74.0095264
30 VESEY STREET,40.7121525,-74.0098222
156 CHAMBERS STREET,40.7157481,-74.0102267
166 WILLIAM STREET,40.7101655,-74.0055836
162 CHAMBERS STREET,40.7158578,-74.010454
225 BROADWAY,40.7119906,-74.0086534
15 STONE STREET,40.7042062,-74.012086
15 ANN STREET,40.7110053,-74.0078165
154 CHAMBERS STREET,40.7157124,-74.0101509
92 WARREN STREET,40.7156327,-74.0106704
46 CLIFF STREET,40.708409,-74.0042273
295 GREENWICH STREET,40.7158633,-74.0107498
1 BOWLING GREEN,40.7040358,-74.0137486
121 READE STREET,40.7160583,-74.0096171
15 PARK ROW,40.7111727,-74.0077912
146 CHAMBERS STREET,40.7155752,-74.0098479
134 READE STREET,40.7165276,-74.0095559
FRONT STREET,40.7070778,-74.0034698
121 FULTON STREET,40.7101572,-74.0070481
345 SOUTH END AVENUE,40.7110565,-74.0170361
125 FULTON STREET,40.7102149,-74.0071635
178 DUANE STREET,40.7170107,-74.0099636
172 DUANE STREET,40.7169037,-74.0097363
107 SOUTH STREET,40.7070613,-74.0021352
135 READE STREET,40.716223,-74.0097506
250 VESEY STREET,40.714032,-74.0158826
323 GREENWICH STREET,40.7172385,-74.0104217
57 ANN STREET,40.7104098,-74.0064241
55 ANN STREET,40.7103357,-74.0065648
166 DUANE STREET,40.716739,-74.0094152
230 FRONT STREET,40.7077283,-74.0021172
247 WATER STREET,40.7079644,-74.0021461
323A GREENWICH STREET,40.7173153,-74.0104398
GREENWICH STREET,40.7170901,-74.0115544
132 NASSAU STREET,40.7109285,-74.0065071
455 NORTH END AVENUE,40.7175207,-74.014545
161 WILLIAM,40.710171,-74.0061896
450 NORTH END AVENUE,40.7172463,-74.0138812
81 FULTON STREET,40.709520500000004,-74.0057964
208 WEST STREET,40.719618,-74.0116414
270 GREENWICH STREET,40.7156271,-74.0121169
220 FRONT STREET,40.7076075,-74.0023589
174 DUANE STREET,40.7169558,-74.0098012
25 HARRISON STREET,40.718641,-74.0106456
45 BEEKMAN STREET,40.7100146,-74.0055548
200 CHAMBERS STREET,40.7165768,-74.0123949
237 WATER STREET,40.7078052,-74.0024635
21 SOUTH END AVENUE,40.7083115,-74.0181175
29 HARRISON STREET,40.7186849,-74.0108981
207 FRONT STREET,40.7072726,-74.0033003
136 WEST BROADWAY,40.7169696,-74.0083691
304 PEARL STREET,40.7082086,-74.0026799
30 LITTLE WEST STREET,40.7062284,-74.0170962
112 SOUTH STREET,40.7072013,-74.0018792
132 WEST BROADWAY,40.7168516,-74.0084593
159 DUANE STREET,40.7169367,-74.0086649
47 HUDSON STREET,40.7174911,-74.0093576
109 SOUTH STREET,40.7071245,-74.0020234
52 BEEKMAN STREET,40.7103577,-74.0050101
400 CHAMBERS STREET,40.7177183,-74.0150285
44 HUDSON STREET,40.7172578,-74.0087479
108 SOUTH STREET,40.707097,-74.0020739
150 BEEKMAN STREET,40.7069845,-74.0023949
121 CHAMBERS STREET,40.7155067,-74.0084627
125 CHAMBERS STREET,40.7155423,-74.008809
90 WASHINGTON STREET,40.7080732,-74.0148496
113 READE STREET,40.7157811,-74.0087838
PEARL STREET,40.7090678,-74.0013779
160 SOUTH STREET,40.7079891,-74.0003318
56 HUDSON STREET,40.7176558,-74.0083403
225 FRONT STREET,40.7073797,-74.0020198
40 PECK SLIP,40.7074044,-74.0016592
113 CHAMBERS STREET,40.7153695,-74.0081561
46 TRINITY PLACE,40.7076672,-74.0134031
134 DUANE STREET,40.7159788,-74.0076764
46 HUDSON STREET,40.7173566,-74.0087407
233 WATER STREET,40.7077036,-74.0026655
49 BROADWAY,40.7067312,-74.0131216
251 WATER STREET,40.7080412,-74.0020776
130 DUANE STREET,40.7158745,-74.0074383
259 FRONT STREET,40.7081428,-74.0004761
111 CHAMBERS STREET,40.7152432,-74.0081488
214 FRONT STREET,40.7074922,-74.0025753
143 WEST BROADWAY,40.716912,-74.0078316
52 BROADWAY,40.7064843,-74.012274
137 DUANE STREET,40.7166074,-74.0075935
254 FRONT STREET,40.7084145,-74.0007647
115 CHAMBERS STREET,40.715331,-74.0083436
39 PARK ROW,40.7116669,-74.0061861
320 PEARL STREET,40.7088701,-74.0020163
37 WALL STREET,40.7063033,-74.0102289
272 WATER STREET,40.7088125,-74.0013346
83 CHAMBERS STREET,40.7147794,-74.0068646
97 CHAMBERS STREET,40.7150511,-74.007449
99 CHAMBERS STREET,40.7151033,-74.0075717
29 PECK SLIP,40.7080961,-74.0013562
109 READE STREET,40.715707,-74.0086215
246 FRONT STREET,40.7082965,-74.0011542
67 WALL STREET,40.7055459,-74.0084001
275 WATER STREET,40.7085435,-74.0009811
57 READE STREET,40.7146148,-74.0063704
23 PECK SLIP,40.7082882,-74.0015185
123 CHAMBERS STREET,40.7154518,-74.0086106
20 EXCHANGE PLACE,40.7054608,-74.0095687
119 CHAMBERS STREET,40.7153832,-74.0084555
279 WATER STREET,40.7086341,-74.0008404
62 READE STREET,40.7151335,-74.0064787
78 READE STREET,40.7154601,-74.0071929
265 WATER STREET,40.7083898,-74.001349
271 WATER STREET,40.7083898,-74.0010604
80 BEAVER STREET,40.7051507,-74.0087427
86 CATHERINE STREET,40.7105472,-73.9973236
